[2024-08-26 10:35:29.706] [bm] [info] Params: run_name          sampleN20
[2024-08-26 10:35:29.706] [bm] [info] Params: input_data        ../Data/sampleN20.dat
[2024-08-26 10:35:29.706] [bm] [info] Params: input_init_guess  ../Results_Metropolis/sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000
[2024-08-26 10:35:29.706] [bm] [info] Params: output_data       ../Results_Metropolis/sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000.json
[2024-08-26 10:35:29.706] [bm] [info] Params: output_err        ../Results_Metropolis/err_sampleN20_j_min_7.05e-04_h_min_5.80e-04_t_eq_3000.txt
[2024-08-26 10:35:29.706] [bm] [info] Params: use_exact         false
[2024-08-26 10:35:29.706] [bm] [info] Params: iter_display      100
[2024-08-26 10:35:29.706] [bm] [info] Params: iter_max          150000
[2024-08-26 10:35:29.706] [bm] [info] Params: eta_J             0.05
[2024-08-26 10:35:29.706] [bm] [info] Params: eta_h             0.03
[2024-08-26 10:35:29.706] [bm] [info] Params: min_err_S         0.00058
[2024-08-26 10:35:29.706] [bm] [info] Params: min_err_SS        0.000705
[2024-08-26 10:35:29.706] [bm] [info] Params: n_rep             40
[2024-08-26 10:35:29.706] [bm] [info] Params: t_eq              9000
[2024-08-26 10:35:29.706] [bm] [info] Params: t_meas            270000
[2024-08-26 10:35:29.711] [bm] [info] read_tidy_data: read from ../Data/sampleN20.dat
[2024-08-26 11:20:38.584] [bm] [info] main: sampleN20 iter=5800 err_S=1.441641E-03 err_SS=1.201709E-03
[2024-08-26 11:21:25.337] [bm] [info] main: sampleN20 iter=5900 err_S=9.702421E-04 err_SS=1.087975E-03
[2024-08-26 11:22:12.094] [bm] [info] main: sampleN20 iter=6000 err_S=9.292541E-04 err_SS=1.307451E-03
[2024-08-26 11:22:58.858] [bm] [info] main: sampleN20 iter=6100 err_S=1.143940E-03 err_SS=1.292152E-03
[2024-08-26 11:23:45.609] [bm] [info] main: sampleN20 iter=6200 err_S=1.277232E-03 err_SS=1.784493E-03
[2024-08-26 11:24:32.364] [bm] [info] main: sampleN20 iter=6300 err_S=1.316297E-03 err_SS=1.283433E-03
[2024-08-26 11:25:19.144] [bm] [info] main: sampleN20 iter=6400 err_S=1.187518E-03 err_SS=1.208302E-03
[2024-08-26 11:26:05.897] [bm] [info] main: sampleN20 iter=6500 err_S=1.197840E-03 err_SS=1.452850E-03
[2024-08-26 11:26:52.508] [bm] [info] main: sampleN20 iter=6600 err_S=1.552213E-03 err_SS=1.757918E-03
[2024-08-26 11:27:37.925] [bm] [info] main: sampleN20 iter=6700 err_S=1.234954E-03 err_SS=1.270017E-03
[2024-08-26 11:28:23.268] [bm] [info] main: sampleN20 iter=6800 err_S=9.696837E-04 err_SS=9.142105E-04
[2024-08-26 11:29:08.670] [bm] [info] main: sampleN20 iter=6900 err_S=1.159186E-03 err_SS=1.276893E-03
[2024-08-26 11:29:54.138] [bm] [info] main: sampleN20 iter=7000 err_S=1.402505E-03 err_SS=1.684445E-03
[2024-08-26 11:30:39.484] [bm] [info] main: sampleN20 iter=7100 err_S=1.199990E-03 err_SS=1.351677E-03
