[2024-08-08 16:32:26.796] [bm] [info] Params: run_name          sampleN30
[2024-08-08 16:32:26.796] [bm] [info] Params: input_data        ./Data/sampleN30.dat
[2024-08-08 16:32:26.796] [bm] [info] Params: input_init_guess  ./Results/sampleN30
[2024-08-08 16:32:26.796] [bm] [info] Params: output_data       ./Results/sampleN30.json
[2024-08-08 16:32:26.796] [bm] [info] Params: output_err        ./Results/err_sampleN30.txt
[2024-08-08 16:32:26.796] [bm] [info] Params: use_exact         false
[2024-08-08 16:32:26.796] [bm] [info] Params: iter_display      100
[2024-08-08 16:32:26.796] [bm] [info] Params: iter_max          150000
[2024-08-08 16:32:26.796] [bm] [info] Params: eta_J             0.05
[2024-08-08 16:32:26.796] [bm] [info] Params: eta_h             0.03
[2024-08-08 16:32:26.796] [bm] [info] Params: min_err_S         0.0006670033
[2024-08-08 16:32:26.796] [bm] [info] Params: min_err_SS        0.0009712739
[2024-08-08 16:32:26.796] [bm] [info] Params: n_rep             40
[2024-08-08 16:32:26.796] [bm] [info] Params: t_eq              9000
[2024-08-08 16:32:26.796] [bm] [info] Params: t_meas            270000
[2024-08-08 16:32:26.802] [bm] [info] read_tidy_data: read from ./Data/sampleN30.dat
[2024-08-08 17:18:52.351] [bm] [info] main: sampleN30 iter=6300 err_S=0.001652 err_SS=0.001819
[2024-08-08 17:19:37.086] [bm] [info] main: sampleN30 iter=6400 err_S=0.001382 err_SS=0.001560
[2024-08-08 17:20:21.513] [bm] [info] main: sampleN30 iter=6500 err_S=0.001695 err_SS=0.002070
[2024-08-08 17:21:05.321] [bm] [info] main: sampleN30 iter=6600 err_S=0.001380 err_SS=0.001434
[2024-08-08 17:21:49.495] [bm] [info] main: sampleN30 iter=6700 err_S=0.001256 err_SS=0.001542
[2024-08-08 17:22:33.623] [bm] [info] main: sampleN30 iter=6800 err_S=0.001576 err_SS=0.001748
[2024-08-08 17:23:18.402] [bm] [info] main: sampleN30 iter=6900 err_S=0.001272 err_SS=0.001244
[2024-08-08 17:24:02.392] [bm] [info] main: sampleN30 iter=7000 err_S=0.001197 err_SS=0.001426
[2024-08-08 17:24:46.394] [bm] [info] main: sampleN30 iter=7100 err_S=0.001186 err_SS=0.001467
[2024-08-08 17:25:29.939] [bm] [info] main: sampleN30 iter=7200 err_S=0.001574 err_SS=0.001406
[2024-08-08 17:26:14.811] [bm] [info] main: sampleN30 iter=7300 err_S=0.002332 err_SS=0.002596
[2024-08-08 17:26:59.870] [bm] [info] main: sampleN30 iter=7400 err_S=0.001838 err_SS=0.001729
[2024-08-08 17:27:43.648] [bm] [info] main: sampleN30 iter=7500 err_S=0.001763 err_SS=0.001726
[2024-08-08 17:28:27.598] [bm] [info] main: sampleN30 iter=7600 err_S=0.001994 err_SS=0.002380
[2024-08-08 17:29:11.809] [bm] [info] main: sampleN30 iter=7700 err_S=0.002063 err_SS=0.002157
[2024-08-08 17:29:56.274] [bm] [info] main: sampleN30 iter=7800 err_S=0.001459 err_SS=0.001534
[2024-08-08 17:30:40.465] [bm] [info] main: sampleN30 iter=7900 err_S=0.001385 err_SS=0.001469
[2024-08-08 17:31:24.054] [bm] [info] main: sampleN30 iter=8000 err_S=0.001680 err_SS=0.001850
[2024-08-08 17:32:07.437] [bm] [info] main: sampleN30 iter=8100 err_S=0.001638 err_SS=0.001769
[2024-08-08 17:32:50.801] [bm] [info] main: sampleN30 iter=8200 err_S=0.001889 err_SS=0.002092
[2024-08-08 17:33:34.094] [bm] [info] main: sampleN30 iter=8300 err_S=0.001340 err_SS=0.001361
[2024-08-08 17:34:17.718] [bm] [info] main: sampleN30 iter=8400 err_S=0.001778 err_SS=0.002153
[2024-08-08 17:35:01.926] [bm] [info] main: sampleN30 iter=8500 err_S=0.001408 err_SS=0.001371
[2024-08-08 17:35:44.977] [bm] [info] main: sampleN30 iter=8600 err_S=0.001890 err_SS=0.002024
[2024-08-08 17:36:28.874] [bm] [info] main: sampleN30 iter=8700 err_S=0.001709 err_SS=0.001862
[2024-08-08 17:37:12.811] [bm] [info] main: sampleN30 iter=8800 err_S=0.001639 err_SS=0.001925
[2024-08-08 17:37:56.680] [bm] [info] main: sampleN30 iter=8900 err_S=0.001559 err_SS=0.001763
[2024-08-08 17:38:41.147] [bm] [info] main: sampleN30 iter=9000 err_S=0.001808 err_SS=0.002000
[2024-08-08 17:39:25.714] [bm] [info] main: sampleN30 iter=9100 err_S=0.001556 err_SS=0.001725
[2024-08-08 17:40:10.757] [bm] [info] main: sampleN30 iter=9200 err_S=0.001819 err_SS=0.002145
[2024-08-08 17:40:56.345] [bm] [info] main: sampleN30 iter=9300 err_S=0.001331 err_SS=0.001746
[2024-08-08 17:41:41.257] [bm] [info] main: sampleN30 iter=9400 err_S=0.001498 err_SS=0.001707
[2024-08-08 17:42:25.837] [bm] [info] main: sampleN30 iter=9500 err_S=0.002034 err_SS=0.002442
