inter erroJ erroh
156 0.001845688924089 0.002606158133466
157 0.001909244789828 0.001826302683241
158 0.001586069248777 0.002198856554221
159 0.001603804740023 0.001962373950608
160 0.002351192616476 0.002878402200742
161 0.001979767296757 0.002919839107085
162 0.001787355827821 0.002048182356506
163 0.001553355152124 0.002355794597821
164 0.001658568676354 0.001910646811167
165 0.001407915345501 0.001879728560555
166 0.001235955928923 0.002053023288574
167 0.001552687537342 0.002364784947757
168 0.003160271849985 0.002424333066749
169 0.002011740623151 0.0020631050796
170 0.001386478481758 0.002457900608334
171 0.001630919574988 0.002114375198694
172 0.001231427446754 0.001940627177424
173 0.001268053431578 0.001974882545526
174 0.001338119368312 0.001861064301584
175 0.001924366817873 0.002202344312684
176 0.002121784728453 0.002588912863175
177 0.001679625781982 0.002283833384636
178 0.001336134080972 0.002228440649932
179 0.00170856826997 0.002346993367595
180 0.001234825711733 0.002288634649196
181 0.001548790811742 0.002104647959639
182 0.002797511548613 0.002200966088496
183 0.001630173160514 0.00224018685183
184 0.001420567342513 0.001894827371279
185 0.001525783937794 0.002241942811586
186 0.001565463227233 0.002423202009041
187 0.001621994401369 0.002323253833241
188 0.001475686628141 0.002044708642786
189 0.003421019140464 0.003352953836161
190 0.001935129416139 0.002159437975187
191 0.001893442658016 0.002319453206522
192 0.001896394153661 0.001695702743633
193 0.001856745447046 0.00235732088563
194 0.001769273772316 0.002110238008853
195 0.001601020457187 0.002416579471811
196 0.002435264134643 0.00311682914581
197 0.002174878840315 0.002327387276765
198 0.00156528731323 0.002262131921152
199 0.001547579290281 0.002698750288197
200 0.00174138661155 0.001829976263651
201 0.001780873115159 0.00205976652529
202 0.001888608541685 0.002265608375893
203 0.002628470539741 0.002628271156099
204 0.002157891324575 0.002539074592056
205 0.001675898361537 0.002098532226287
206 0.001679516565969 0.002122294457034
207 0.001749580936503 0.002418849308592
208 0.001390127661555 0.002239344508757
209 0.001395510510844 0.002132776547869
210 0.001323326049599 0.001994943350843
211 0.002182057971506 0.002697804863061
212 0.002180412673533 0.002272383733456
213 0.001568708155175 0.001811203413124
214 0.001470818329557 0.00193045393087
215 0.001476020690011 0.001761749636227
216 0.001482559050822 0.001773260193709
217 0.001827643361471 0.001809618827003
218 0.002744971657832 0.002846277717871
219 0.001648276496637 0.002415963749584
220 0.001641791020681 0.002053482529064
221 0.00154993707676 0.002134851728858
222 0.001733606915946 0.001857353937908
223 0.001298107100626 0.001946628683173
224 0.001200138429418 0.001802044149745
225 0.002889154828578 0.002158899488731
226 0.00146535465789 0.002111658035577
227 0.001542765116786 0.001388997330314
228 0.001317383682928 0.002129289290718
229 0.00147851035807 0.001823979185757
230 0.001323050881849 0.002229713125039
231 0.001294957473115 0.001933809345193
232 0.002187753848155 0.002407496975231
233 0.001732918386673 0.001844249765418
234 0.001421683063838 0.002145795259362
235 0.001244862505961 0.002244844015109
236 0.001492315476528 0.001573782171682
237 0.001452793874092 0.001790741458223
238 0.00148849786988 0.001934614165587
239 0.001608496454188 0.001910180705869
240 0.002349231338131 0.002291674366482
241 0.001979170343551 0.001961075749694
242 0.001373078278294 0.002062174583589
243 0.001581193534867 0.001813978212803
244 0.001656115304822 0.001488977945527
245 0.001519123775028 0.002069585674867
246 0.001432113535033 0.002103662040993
247 0.003196666524912 0.003237574382743
248 0.002038674348314 0.002494680235081
249 0.001564962636306 0.001834475982853
250 0.001418149385294 0.002278780883997
251 0.001651374599493 0.001774499146077
252 0.001455380370927 0.001787862535102
253 0.001148822914377 0.00157551953938
254 0.002373735447937 0.002285285004535
255 0.001834257908823 0.002104688633218
256 0.00187281709298 0.001908072678946
257 0.002201759967462 0.002538365793184
258 0.001544525924177 0.002054491767453
259 0.001682244995582 0.002018139497086
260 0.001352240776673 0.00199041961593
261 0.001807196764215 0.002237522399894
262 0.002048352082255 0.002596834134246
263 0.001564436586368 0.00209918812338
264 0.00138924668335 0.001802012509577
265 0.001172043478452 0.001866336231374
266 0.001521410031349 0.00154951857571
267 0.001401055370982 0.002088668622108
268 0.002839447183722 0.002993825561521
269 0.002137654354274 0.002198029651068
270 0.001552319659184 0.00214691928001
271 0.001758944724796 0.00212067355108
272 0.001338899970201 0.001746839960152
273 0.001337497827042 0.001551766372506
274 0.001123268253114 0.002040708598209
275 0.001963016354344 0.002034815495361
276 0.003726039791454 0.002483892723219
277 0.001948662900386 0.001846530565594
278 0.001520417297074 0.001304416571646
279 0.001492826176945 0.001655989308934
280 0.001724827328452 0.001957492733871
281 0.001646088786887 0.00185773092555
282 0.001879892956327 0.002337489336651
283 0.002342614018616 0.002450772413
284 0.001645122989725 0.002078896033622
285 0.001578167868845 0.002093242403641
286 0.001425516649541 0.001625548404612
287 0.001321638853455 0.001799730010201
288 0.001486638344349 0.001884073698367
289 0.001854113406455 0.001934524966714
290 0.003217974714761 0.003125091714607
291 0.001651333724433 0.002191593425242
292 0.002018168638172 0.002543215005919
293 0.001902378770953 0.001341252563762
294 0.001351786811929 0.001727486988513
295 0.001487271031458 0.001771290331034
296 0.001731664915576 0.002021837931222
297 0.002879413854218 0.002759109558452
298 0.002085450017027 0.002657177658759
299 0.001377574622517 0.001854882313873
300 0.001433938190266 0.001909208238849
301 0.001440581257499 0.00191847362026
302 0.001483840358259 0.00149011800203
303 0.001618398347859 0.002046091907566
304 0.001986560726375 0.002210146445855
305 0.001791624405847 0.002137092115652
306 0.00160162823645 0.002249360355014
307 0.001575965896661 0.001939035812892
308 0.001418742972585 0.002045642781063
